id,ST_NUM,date1,Id_M,value1
224,1160692404,17/4/2025 00:00:00,20,-2
225,1159208121,17/4/2025 00:00:00,24,-3
226,1159625274,17/4/2025 00:00:00,13,-2
227,1153526726,20/4/2025 00:00:00,5,-1
228,1153526726,20/4/2025 00:00:00,13,-2
229,1153090897,20/4/2025 00:00:00,13,-2
231,1157950567,20/4/2025 00:00:00,13,-2
232,1156897553,20/4/2025 00:00:00,13,-2
233,1161813215,20/4/2025 00:00:00,3,-1
234,1163294430,20/4/2025 00:00:00,16,-2
235,1163159344,20/4/2025 00:00:00,16,-2
236,1160778021,20/4/2025 00:00:00,16,-2
237,1152297824,20/4/2025 00:00:00,13,-2
238,1152297824,12/5/2023 00:00:00,24,-3
239,1151957394,20/4/2025 00:00:00,13,-2
240,1162391096,20/4/2025 00:00:00,13,-2
241,1160723621,20/4/2025 00:00:00,13,-2
242,1152392328,20/4/2025 00:00:00,13,-2
243,1153020662,20/4/2025 00:00:00,13,-2
244,1152952766,20/4/2025 00:00:00,13,-2
245,1152838056,20/4/2025 00:00:00,6,-1
246,1155783184,20/4/2025 00:00:00,13,-2
247,1154634040,20/4/2025 00:00:00,13,-2
248,1158009264,20/4/2025 00:00:00,13,-2
249,1157150457,20/4/2025 00:00:00,13,-2
250,1158136125,20/4/2025 00:00:00,13,-2
253,1163056672,20/4/2025 00:00:00,13,-2
254,1159859394,20/4/2025 00:00:00,13,-2
255,1161452485,20/4/2025 00:00:00,13,-2
256,1162279986,20/4/2025 00:00:00,13,-2
257,1149867275,20/4/2025 00:00:00,18,-2
258,1163056672,20/4/2025 00:00:00,13,-2
261,1155186750,20/4/2025 00:00:00,13,-2
262,1162254278,20/4/2025 00:00:00,16,-2
263,1162798746,20/4/2025 00:00:00,16,-2
266,1149609859,21/4/2025 00:00:00,13,-2
267,2526281411,21/4/2025 00:00:00,13,-2
269,1159625274,21/4/2025 00:00:00,16,-2
270,1159392503,21/4/2025 00:00:00,13,-2
272,1157275130,21/4/2025 00:00:00,20,-2
273,1156970939,21/4/2025 00:00:00,20,-2
