serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
154,7/9/2025 00:00:00,,1157932045,2,,,,,
155,7/9/2025 00:00:00,,1157950567,2,,,,,
157,7/9/2025 00:00:00,,1157990712,2,,,,,
158,7/9/2025 00:00:00,,1158009264,2,,,,,
159,7/9/2025 00:00:00,,1158009959,2,,,,,
160,7/9/2025 00:00:00,,1158054922,2,,,,,
161,7/9/2025 00:00:00,,1158136125,2,,,,,
162,7/9/2025 00:00:00,,1158153864,2,,,,,
163,7/9/2025 00:00:00,,1158174530,2,,,,,
164,7/9/2025 00:00:00,,1158198448,2,,,,,
165,7/9/2025 00:00:00,,1158206027,2,,,,,
166,7/9/2025 00:00:00,,1158223147,2,,,,,
167,7/9/2025 00:00:00,,1158262848,2,,,,,
168,7/9/2025 00:00:00,,1158312981,2,,,,,
170,7/9/2025 00:00:00,,1158323137,2,,,,,
171,7/9/2025 00:00:00,,1158327914,2,,,,,
172,7/9/2025 00:00:00,,1158336469,2,,,,,
173,7/9/2025 00:00:00,,1158382653,2,,,,,
174,7/9/2025 00:00:00,,1158495521,2,,,,,
175,7/9/2025 00:00:00,,1158536738,2,,,,,
176,7/9/2025 00:00:00,,1158574267,2,,,,,
177,7/9/2025 00:00:00,,1158646370,2,,,,,
178,7/9/2025 00:00:00,,1158659696,2,,,,,
179,7/9/2025 00:00:00,,1158705911,2,,,,,
180,7/9/2025 00:00:00,,1158732477,2,,,,,
181,7/9/2025 00:00:00,,1158821031,2,,,,,
182,7/9/2025 00:00:00,,1158834471,2,,,,,
183,7/9/2025 00:00:00,,1158841526,2,,,,,
184,7/9/2025 00:00:00,,1158883759,2,,,,,
185,7/9/2025 00:00:00,,1158911436,2,,,,,
186,7/9/2025 00:00:00,,1158913259,2,,,,,
187,7/9/2025 00:00:00,,1158916989,2,,,,,
188,7/9/2025 00:00:00,,1159027950,2,,,,,
189,7/9/2025 00:00:00,,1159043544,2,,,,,
190,7/9/2025 00:00:00,,1159061942,2,,,,,
191,7/9/2025 00:00:00,,1159085933,2,,,,,
192,7/9/2025 00:00:00,,1159096344,2,,,,,
193,7/9/2025 00:00:00,,1159108420,2,,,,,
194,7/9/2025 00:00:00,,1159108677,2,,,,,
195,7/9/2025 00:00:00,,1159129525,2,,,,,
196,7/9/2025 00:00:00,,1159208121,2,,,,,
197,7/9/2025 00:00:00,,1159282050,2,,,,,
198,7/9/2025 00:00:00,,1159285442,2,,,,,
199,7/9/2025 00:00:00,,1159299492,2,,,,,
200,7/9/2025 00:00:00,,1159318326,2,,,,,
201,7/9/2025 00:00:00,,1159345246,2,,,,,
202,7/9/2025 00:00:00,,1159392503,2,,,,,
203,7/9/2025 00:00:00,,1159397643,2,,,,,
204,7/9/2025 00:00:00,,1159401817,2,,,,,
205,7/9/2025 00:00:00,,1159419900,2,,,,,
206,7/9/2025 00:00:00,,1159441870,2,,,,,
207,7/9/2025 00:00:00,,1159467016,2,,,,,
208,7/9/2025 00:00:00,,1159467917,2,,,,,
209,7/9/2025 00:00:00,,1159492444,2,,,,,
210,7/9/2025 00:00:00,,1159528593,2,,,,,
211,7/9/2025 00:00:00,,1159625274,2,,,,,
212,7/9/2025 00:00:00,,1159634581,2,,,,,
213,7/9/2025 00:00:00,,1159731155,2,,,,,
214,7/9/2025 00:00:00,,1159779337,2,,,,,
215,7/9/2025 00:00:00,,1159799483,2,,,,,
216,7/9/2025 00:00:00,,1159844065,2,,,,,
217,7/9/2025 00:00:00,,1159845294,2,,,,,
218,7/9/2025 00:00:00,,1159847522,2,,,,,
219,7/9/2025 00:00:00,,1159859394,2,,,,,
220,7/9/2025 00:00:00,,1159927852,2,,,,,
221,7/9/2025 00:00:00,,1159962586,2,,,,,
222,7/9/2025 00:00:00,,1159968500,2,,,,,
223,7/9/2025 00:00:00,,1160003289,2,,,,,
224,7/9/2025 00:00:00,,1160048383,2,,,,,
225,7/9/2025 00:00:00,,1160050124,2,,,,,
226,7/9/2025 00:00:00,,1160055016,2,,,,,
227,7/9/2025 00:00:00,,1160109078,2,,,,,
228,7/9/2025 00:00:00,,1160228845,2,,,,,
229,7/9/2025 00:00:00,,1160281984,2,,,,,
230,7/9/2025 00:00:00,,1160312458,2,,,,,
231,7/9/2025 00:00:00,,1160348783,2,,,,,
232,7/9/2025 00:00:00,,1160382063,2,,,,,
233,7/9/2025 00:00:00,,1160420590,2,,,,,
234,7/9/2025 00:00:00,,1160488886,2,,,,,
235,7/9/2025 00:00:00,,1160548416,2,,,,,
236,7/9/2025 00:00:00,,1160550263,2,,,,,
237,7/9/2025 00:00:00,,1160570485,2,,,,,
238,7/9/2025 00:00:00,,1160649271,2,,,,,
239,7/9/2025 00:00:00,,1160667653,2,,,,,
240,7/9/2025 00:00:00,,1160667703,2,,,,,
241,7/9/2025 00:00:00,,1160692404,2,,,,,
242,7/9/2025 00:00:00,,1160723621,2,,,,,
243,7/9/2025 00:00:00,,1160758635,2,,,,,
244,7/9/2025 00:00:00,,1160778021,2,,,,,
245,7/9/2025 00:00:00,,1160782288,2,,,,,
246,7/9/2025 00:00:00,,1160784805,2,,,,,
247,7/9/2025 00:00:00,,1160817886,2,,,,,
248,7/9/2025 00:00:00,,1160824882,2,,,,,
249,7/9/2025 00:00:00,,1160883540,2,,,,,
250,7/9/2025 00:00:00,,1160895387,2,,,,,
251,7/9/2025 00:00:00,,1160924245,2,,,,,
252,7/9/2025 00:00:00,,1160942684,2,,,,,
253,7/9/2025 00:00:00,,1160957138,2,,,,,
254,7/9/2025 00:00:00,,1160959076,2,,,,,
255,7/9/2025 00:00:00,,1160967681,2,,,,,
256,7/9/2025 00:00:00,,1161027865,2,,,,,
257,7/9/2025 00:00:00,,1161053440,2,,,,,
258,7/9/2025 00:00:00,,1161077951,2,,,,,
259,7/9/2025 00:00:00,,1161141211,2,,,,,
260,7/9/2025 00:00:00,,1161156078,2,,,,,
261,7/9/2025 00:00:00,,1161186265,2,,,,,
262,7/9/2025 00:00:00,,1161217284,2,,,,,
263,7/9/2025 00:00:00,,1161271083,2,,,,,
264,7/9/2025 00:00:00,,1161310105,2,,,,,
265,7/9/2025 00:00:00,,1161321391,2,,,,,
266,7/9/2025 00:00:00,,1161371495,2,,,,,
267,7/9/2025 00:00:00,,1161374408,2,,,,,
268,7/9/2025 00:00:00,,1161378847,2,,,,,
269,7/9/2025 00:00:00,,1161404189,2,,,,,
270,7/9/2025 00:00:00,,1161452485,2,,,,,
271,7/9/2025 00:00:00,,1161534555,2,,,,,
272,7/9/2025 00:00:00,,1161536394,2,,,,,
273,7/9/2025 00:00:00,,1161557069,2,,,,,
274,7/9/2025 00:00:00,,1161560436,2,,,,,
275,7/9/2025 00:00:00,,1161597776,2,,,,,
276,7/9/2025 00:00:00,,1161632987,2,,,,,
277,7/9/2025 00:00:00,,1161681182,2,,,,,
